                                                 Nearest Neighbour Results                                                 
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% | 20.31% (0.94%) * | 18.00% (1.33%) * | 11.14% (0.70%) * |  9.11% (0.37%) * |  7.44% (0.44%) *
audiology       |     74.77% | 60.17% (2.17%) * | 42.00% (2.56%) * | 31.85% (2.13%) * | 29.62% (1.78%) * | 26.47% (1.81%) *
autos           |     67.35% | 64.50% (1.50%) * | 61.40% (2.21%) * | 65.96% (2.02%)   | 52.92% (2.39%) * | 57.37% (0.95%) *
credit-a        |     44.49% | 39.98% (1.05%) * | 41.35% (0.99%) * | 32.04% (1.50%) * | 34.63% (0.79%) * | 34.71% (0.73%) *
hypothyroid     |      7.71% |  8.27% (0.52%) * |  7.33% (0.18%) * |  4.74% (0.14%) * |  5.01% (0.13%) * |  4.79% (0.10%) *
letter          |     96.26% | 16.86% (0.35%) * |  9.61% (0.20%) * |  6.05% (0.08%) * |  4.71% (0.06%) * |  3.93% (0.07%) *
microarray      |     50.20% | 59.47% (2.55%) * | 49.58% (2.36%)   | 42.45% (0.83%) * | 50.71% (0.95%)   | 50.88% (0.60%)  
vote            |     38.63% |  6.45% (1.01%) * | 10.42% (1.16%) * |  8.26% (0.55%) * |  7.12% (0.19%) * |  7.91% (0.39%) *

                                                   Decision Tree Results                                                   
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% |  9.10% (1.89%) * |  3.53% (1.13%) * |  1.54% (0.47%) * |  1.35% (0.27%) * |  0.67% (0.16%) *
audiology       |     74.77% | 62.00% (3.64%) * | 46.63% (4.85%) * | 28.75% (2.11%) * | 22.16% (2.13%) * | 22.47% (1.65%) *
autos           |     67.35% | 71.00% (4.90%)   | 47.10% (5.48%) * | 33.38% (2.24%) * | 28.95% (2.79%) * | 21.27% (2.87%) *
credit-a        |     44.49% | 19.81% (2.81%) * | 12.33% (0.83%) * | 20.10% (1.75%) * | 19.58% (1.47%) * | 19.62% (1.10%) *
hypothyroid     |      7.71% |  2.92% (0.37%) * |  1.65% (0.27%) * |  0.65% (0.08%) * |  0.80% (0.10%) * |  0.62% (0.06%) *
letter          |     96.26% | 28.78% (0.51%) * | 21.52% (0.45%) * | 16.44% (0.27%) * | 13.42% (0.11%) * | 11.78% (0.15%) *
microarray      |     50.20% | 50.53% (4.93%)   | 51.91% (2.85%)   | 51.32% (2.64%)   | 46.35% (1.82%) * | 49.18% (1.21%)  
vote            |     38.63% | 12.75% (2.14%) * |  5.45% (1.87%) * |  7.14% (1.12%) * |  3.10% (0.39%) * |  5.82% (0.49%) *
